serial_id,serial_number,serial_production_date
1,1KS1CCESH0120001,6/1/2021
2,1KS1CCESH0120002,6/1/2021
3,1KS1CCESH0120003,6/1/2021
4,1KS1CCESH0120004,6/1/2021
5,1KS1CCESH0120005,6/1/2021
6,1KS1CCESH0120006,6/1/2021
7,1KS1CCESH0120007,6/1/2021
8,1KS1CCESH0120008,6/1/2021
9,1KS1CCESH0120009,6/1/2021
10,1KS1CCESH0120010,6/1/2021
11,1KS1CCESH0120011,6/1/2021
12,1KS1CCESH0120012,6/1/2021
13,1KS1CCESH0120014,6/1/2021
14,1KS1CCESH0120015,6/1/2021
15,1KS1CCESH0120016,6/1/2021
16,1KS1CCESH0120017,6/1/2021
17,1KS1CCESH0120018,6/1/2021
18,1KS1CCESH0120019,6/1/2021
19,1KS1CCESH0120020,6/1/2021
20,1KS1CCESH0120021,6/1/2021
21,1KS1CCESH0120022,6/1/2021
22,1KS1CCESH0120023,6/1/2021
23,1KS1CCESH0120024,6/1/2021
24,1KS1CCESH0120025,6/1/2021
25,1KS1CCESH0120026,6/1/2021
26,1KS1CCESH0120027,6/1/2021
27,1KS1CCESH0120028,6/1/2021
28,1KS1CCESH0120029,6/1/2021
29,1KS1CCESH0120030,6/1/2021
30,1KS1CCESH0120031,6/1/2021
31,1KS1CCESH0120032,6/1/2021
32,1KS1CCESH0120033,6/1/2021
33,1KS1CCESH0120034,6/1/2021
34,1KS1CCESH0120035,6/1/2021
35,1KS1CCESH0120036,6/1/2021
36,1KS1CCESH0120037,6/1/2021
37,1KS1CCESH0120038,6/1/2021
38,1KS1CCESH0120039,6/1/2021
39,1KS1CCESH0120040,6/1/2021
40,1KS1CCESH0120041,6/1/2021
41,1KS1CCESH0120042,6/1/2021
42,1KS1CCESH0120043,6/1/2021
43,1KS1CCESH0120044,6/1/2021
44,1KS1CCESH0120045,6/1/2021
45,1KS1CCESH0120046,6/1/2021
46,1KS1CCESH0120047,6/1/2021
47,1KS1CCESH0120048,6/1/2021
48,1KS1CCESH0120049,6/1/2021
49,1KS1CCESH0120050,6/1/2021
50,1KS1CCESH0120051,6/1/2021
51,1KS1CCESH0120052,6/1/2021
52,1KS1CCESH0120053,6/1/2021
53,1KS1CCESH0120054,6/1/2021
54,1KS1CCESH0120055,6/1/2021
55,1KS1CCESH0120056,6/1/2021
56,1KS1CCESH0120057,6/1/2021
57,1KS1CCESH0120058,6/1/2021
58,1KS1CCESH0120059,6/1/2021
59,1KS1CCESH0120060,6/1/2021
60,1KS1CCESH0120061,6/1/2021
61,1KS1CCESH0120062,6/1/2021
62,1KS1CCESH0120063,6/1/2021
63,1KS1CCESH0120064,6/1/2021
64,1KS1CCESH0120065,6/1/2021
65,1KS1CCESH0120066,6/1/2021
66,1KS1CCESH0120067,6/1/2021
67,1KS1CCESH0120068,6/1/2021
68,1KS1CCESH0120069,6/1/2021
69,1KS1CCESH0120070,6/1/2021
70,1KS1CCESH0120071,6/1/2021
71,1KS1CCESH0120072,6/1/2021
72,1KS1CCESH0120073,6/1/2021
73,1KS1CCESH0120074,6/1/2021
74,1KS1CCESH0120075,6/1/2021
75,1KS1CCESH0120076,6/1/2021
76,1KS1CCESH0120077,6/1/2021
77,1KS1CCESH0120078,6/1/2021
78,1KS1CCESH0120079,6/1/2021
79,1KS1CCESH0120080,6/1/2021
80,1KS1CCESH0120081,6/1/2021
81,1KS1CCESH0120082,6/1/2021
82,1KS1CCESH0120083,6/1/2021
83,1KS1CCESH0120084,6/1/2021
84,1KS1CCESH0120085,6/1/2021
85,1KS1CCESH0120086,6/1/2021
86,1KS1CCESH0120087,6/1/2021
87,1KS1CCESH0120088,6/1/2021
88,1KS1CCESH0120089,6/1/2021
89,1KS1CCESH0120090,6/1/2021
90,1KS1CCESH0120091,6/1/2021
91,1KS1CCESH0120092,6/1/2021
92,1KS1CCESH0120093,6/1/2021
93,1KS1CCESH0120094,6/1/2021
94,1KS1CCESH0120095,6/1/2021
95,1KS1CCESH0120096,6/1/2021
96,1KS1CCESH0120097,6/1/2021
97,1KS1CCESH0120098,6/1/2021
98,1KS1CCESH0120099,6/1/2021
99,1KS1CCESH0120100,6/1/2021
100,1KS1CCESH0120101,6/1/2021
